STATISTIC,Statistic,TLIST(A1),Year,C02480V03003,Probation Referral Offence,UNIT,VALUE
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,1,Homicide offences,Number,
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,2,Sexual offences,Number,10
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,3,"Attempts/threats to murder, assaults, harassments and related offences",Number,224
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,4,Dangerous or negligent acts,Number,82
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,5,Kidnapping and related offences,Number,0
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,6,"Robbery, extortion and hijacking offences",Number,55
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,7,Burglary and related offences,Number,186
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,8,Theft and related offences,Number,406
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,9,"Fraud, deception and related offences",Number,22
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,10,Controlled drug offences,Number,263
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,11,Weapons and Explosives Offences,Number,53
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,12,Damage to property and to the environment,Number,181
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,13,Public order and other social code offences,Number,475
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,14,Road and traffic offences (n.e.c.),Number,151
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,15,"Offences against government, justice procedures and organisation of crime",Number,67
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,16,Offences not elsewhere classified,Number,8
CJA19C01,Re-Offence within 3 Years:  Yes,2011,2011,1650,Offence not stated,Number,
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,1,Homicide offences,Number,
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,2,Sexual offences,Number,5
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,3,"Attempts/threats to murder, assaults, harassments and related offences",Number,219
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,4,Dangerous or negligent acts,Number,96
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,5,Kidnapping and related offences,Number,2
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,6,"Robbery, extortion and hijacking offences",Number,63
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,7,Burglary and related offences,Number,182
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,8,Theft and related offences,Number,471
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,9,"Fraud, deception and related offences",Number,19
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,10,Controlled drug offences,Number,214
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,11,Weapons and Explosives Offences,Number,67
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,12,Damage to property and to the environment,Number,143
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,13,Public order and other social code offences,Number,385
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,14,Road and traffic offences (n.e.c.),Number,103
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,15,"Offences against government, justice procedures and organisation of crime",Number,61
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,16,Offences not elsewhere classified,Number,9
CJA19C01,Re-Offence within 3 Years:  Yes,2012,2012,1650,Offence not stated,Number,
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,1,Homicide offences,Number,3
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,2,Sexual offences,Number,4
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,3,"Attempts/threats to murder, assaults, harassments and related offences",Number,233
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,4,Dangerous or negligent acts,Number,93
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,5,Kidnapping and related offences,Number,3
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,6,"Robbery, extortion and hijacking offences",Number,81
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,7,Burglary and related offences,Number,197
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,8,Theft and related offences,Number,500
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,9,"Fraud, deception and related offences",Number,18
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,10,Controlled drug offences,Number,257
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,11,Weapons and Explosives Offences,Number,69
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,12,Damage to property and to the environment,Number,113
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,13,Public order and other social code offences,Number,349
CJA19C01,Re-Offence within 3 Years:  Yes,2013,2013,14,Road and traffic offences (n.e.c.),Number,93
